barcode,titck_product_code,trade_name,manufacturer,atc_code,active_substance_tr,dosage_form,strength_value,strength_unit,strength_text,package_size_text,rx_only,reimbursable,retired_at
8683190185232,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (AKARLAR),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185249,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (CIMENLER),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185287,,PRICK TEST RX DERI PRICK TEST COZELTISI (CUPRESSUS),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V04CL,,çözelti,,,,,true,false,
8683190185294,,PRICK TEST RX DERI PRICK TEST COZELTISI (FELIS),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V04CL,,çözelti,,,,,true,false,
8683190185317,,PRICK TEST RX DERI PRICK TEST COZELTISI (OLEA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V04CL,,çözelti,,,,,true,false,
8683190185348,,"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (ALTERNARIA)","ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,çözelti,,,,,true,false,
8683190185393,,"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (OLEA)",ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED,V01AA,,çözelti,,,,,true,false,
8683190185430,,"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (AKARLAR)","ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,çözelti,,,,,true,false,
8683190185447,,"SULGEN 30000 TU/ML DILALTI SPREY, COZELTI (CIMENLER)","ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,çözelti,,,,,true,false,
8683190185454,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (CANIS) (1 FLAKON),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185461,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (CUPRESSUS),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185478,,ROXSIT 1000 TSU/ML ENJEKSIYONLUK SUSPANSIYON (ALTERNARIA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185492,,ROXSIT 1000 TSU/ML ENJEKSIYONLUK SUSPANSIYON (CIMENLER),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683190185539,,CLUSTOID 10000 TU/ML ENJEKSIYONLUK SUSPANSIYON (ARTEMISIA),"ROXALL MEDİCİNE İLAÇ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED
ŞİRKETİ",V01AA,,süspansiyon,,,,,true,false,
8683295540097,,KETONEPHRO FILM KAPLI TABLET (100 TABLET),DİNÇSA İLAÇ SAN. VE TİC. A.Ş.,V06DD,,film kaplı tablet,,,,,true,false,
8683295540141,,PHOS-OUT 667 MG 180 TABLET,DİNÇTAŞ İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,V03AE07,,tablet,667,mg,667 MG,,true,true,
8683372180017,,"ALLERMUNE D. PTERONYSSINUS + D. FARINAE 2.5 HEPD/0.375 HEPD DILALTI SPREY, COZELTI (2 ADET)",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,COZELTI (2 ADET),true,false,
8683372180024,,"ALLERMUNE ALTERNARIA ALTERNATA 0,7 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180031,,"ALLERMUNE CAT (FELIS DOMESTICUS) 0,825 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180048,,"ALLERMUNE DOG (CANIS FAMILIARIS) 0,825 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180055,,"ALLERMUNE PHLEUM PRATENSE 5 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180062,,"ALLERMUNE WILD GRASSES (LOLIUM, POA, PHLEUM, DACTYLIS) 5 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180079,,"ALLERMUNE OLEA EUROPAEA 5 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180086,,"ALLERMUNE CUPRESSACEAE SPP. 2.5 HEPD DILALTI SPREY, COZELTI",MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180116,,ALLERMUNE POLYMERIZED WILD GRASSES 0.3 HEPD ENJEKSIYONLUK COZELTI (BASLANGIC),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
8683372180123,,ALLERMUNE POLYMERİZED WİLD GRASSES 0.3 HEPD ENJEKSİYONLUK ÇÖZELTİ (DEVAM),MEDİMAX İLAÇ İTHALAT İHRACAT LİMİTED ŞİRKETİ,V01AA,,çözelti,,,,,true,false,
